ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
54 2249190.000000 69.440010 149944.678432 149947.321568 -99.000000 -99.000000 1 1200 0.006887 72.8
55 235350.000000 72.145294 15688.987576 15691.012424 -99.000000 -99.000000 1 1200 0.006799 76.7
56 224548.000000 71.105682 14968.688832 14971.044501 -99.000000 -99.000000 1 1200 0.006798 75.6
57 257669.000000 71.279358 17176.781682 17179.084985 -99.000000 -99.000000 1 1200 0.005992 75.7
58 224909.000000 70.754761 14992.719410 14995.147256 -99.000000 -99.000000 1 1200 0.005947 75.6
59 224549.000000 71.129578 14968.768377 14971.098290 -99.000000 -99.000000 1 1200 0.005891 75.6
60 224547.000000 70.221237 14968.534244 14971.065756 -99.000000 -99.000000 1 1200 0.005830 74.3
61 265948.000000 70.182442 17728.600911 17731.132422 -99.000000 -99.000000 1 1200 0.005635 74.3
62 209070.000000 71.236755 13936.848349 13939.151651 -99.000000 -99.000000 1 1200 0.005480 75.7
63 62908.000000 69.258934 4192.532580 4195.200753 -99.000000 -99.000000 1 1200 0.005401 72.8
64 295828.000000 70.107216 19720.591763 19723.141570 -99.000000 -99.000000 1 1200 0.005350 74.3
65 59667.000000 70.360054 3976.543794 3979.056206 -99.000000 -99.000000 1 1200 0.005143 75.6
66 259110.000000 70.902718 17272.797685 17275.202315 -99.000000 -99.000000 1 1200 0.005063 74.3
67 71190.000000 68.909447 4744.649867 4747.350133 -99.000000 -99.000000 1 1200 0.004866 75.3
68 224908.000000 71.001404 14992.676381 14995.056953 -99.000000 -99.000000 1 1200 0.004816 75.7
69 81629.000000 69.981819 5440.649680 5443.216987 -99.000000 -99.000000 1 1200 0.004801 74.3
70 2263229.000000 68.341675 150880.563450 150883.303216 -99.000000 -99.000000 1 1200 0.004519 74.6
71 286109.000000 69.965080 19072.649680 19075.216987 -99.000000 -99.000000 1 1200 0.004483 74.3
72 274589.000000 71.211037 18304.768377 18307.098290 -99.000000 -99.000000 1 1200 0.004459 75.6
73 259109.000000 69.656654 17272.625780 17275.240887 -99.000000 -99.000000 1 1200 0.004428 72.8
74 59670.000000 67.281433 3976.615020 3979.384980 -99.000000 -99.000000 1 1200 0.004326 72.4
75 206549.000000 67.929390 13768.555602 13771.311065 -99.000000 -99.000000 1 1200 0.004143 74.0
76 286830.000000 71.197548 19120.835043 19123.164957 -99.000000 -99.000000 1 1200 0.004096 75.7
77 70834.000000 45.276554 20.205120 21.797858 14.735475 16.328213 1 1200 0.004077 89.0
78 2144433.000000 56.818584 19.413244 21.464323 14.935677 16.986756 1 1200 0.004057 82.2
79 259108.000000 69.657730 17272.559113 17275.174220 -99.000000 -99.000000 1 1200 0.004016 72.8
80 210149.000000 68.241135 14008.563450 14011.303216 -99.000000 -99.000000 1 1200 0.003998 74.6
81 71189.000000 70.851097 4744.731018 4747.135648 -99.000000 -99.000000 1 1200 0.003998 75.6
82 62910.000000 70.019775 4192.716346 4195.283654 -99.000000 -99.000000 1 1200 0.003934 72.8
83 59314.000000 42.794559 20.270980 21.798497 14.734836 16.262353 1 1200 0.003767 86.3
84 56787.000000 68.976097 3784.454858 3787.145142 -99.000000 -99.000000 1 1200 0.003690 72.8
85 82350.000000 67.448929 5488.616225 5491.383775 -99.000000 -99.000000 1 1200 0.003678 72.4
86 241835.000000 42.695641 20.340184 21.864884 14.801782 16.326483 1 1200 0.003613 86.3
87 2586870.000000 67.513977 172456.616225 172459.383775 -99.000000 -99.000000 1 1200 0.003463 72.4
88 2586869.000000 67.612328 172456.550609 172459.316058 -99.000000 -99.000000 1 1200 0.003456 73.2
89 266310.000000 68.990631 17752.654858 17755.345142 -99.000000 -99.000000 1 1200 0.003438 75.3
90 297275.000000 42.826962 20.337006 21.865230 14.801437 16.329660 1 1200 0.003412 86.3
91 254073.000000 56.618000 19.436505 21.475833 14.924167 16.963495 1 1200 0.003352 82.2
92 2197350.000000 67.133156 146488.614856 146491.385144 -99.000000 -99.000000 1 1200 0.003327 71.3
93 303753.000000 42.209457 20.217171 21.730076 14.669924 16.182829 1 1200 0.003270 83.0
94 195393.000000 43.133831 20.196453 21.732512 14.667488 16.203547 1 1200 0.003261 83.0
95 210147.000000 68.760460 14008.445230 14011.154770 -99.000000 -99.000000 1 1200 0.003251 72.8
96 285389.000000 69.677109 19024.625780 19027.240887 -99.000000 -99.000000 1 1200 0.003186 72.8
97 295829.000000 70.356400 19720.677127 19723.189540 -99.000000 -99.000000 1 1200 0.003186 74.3
98 201513.000000 56.490849 19.449252 21.482089 14.917911 16.950748 1 1200 0.003135 82.2
99 224910.000000 70.549202 14992.764112 14995.235888 -99.000000 -99.000000 1 1200 0.003114 74.3
100 268113.000000 42.209866 20.217171 21.730076 14.669924 16.182829 1 1200 0.003085 83.0
