ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
1 131.289246 -11.074202 32.416096 33.089136 -99.000000 -99.000000 1 1200 0.030423 41.3
2 125.662628 -8.239439 31.880111 32.874907 -99.000000 -99.000000 1 1200 0.023560 62.4
3 125.859558 -4.915262 31.830525 32.950749 -99.000000 -99.000000 1 1200 0.023497 46.4
4 129.039017 -7.054988 32.070365 33.134837 -99.000000 -99.000000 1 1200 0.020456 59.8
5 125.772949 -7.975380 31.879463 32.890263 -99.000000 -99.000000 1 1200 0.019853 51.9
6 131.250763 -9.832807 32.322331 33.177771 -99.000000 -99.000000 1 1200 0.017641 59.1
7 128.893219 -9.612842 32.153804 33.031959 -99.000000 -99.000000 1 1200 0.017224 32.8
8 127.763306 -4.195947 32.160972 33.283986 31.751121 32.874135 1 1200 0.017138 72.1
9 130.095245 -10.131087 32.263155 33.082877 -99.000000 -99.000000 1 1200 0.015869 38.0
10 125.765068 -8.151489 31.882875 32.885800 -99.000000 -99.000000 1 1200 0.015776 57.0
11 127.926918 -5.665449 31.973293 33.083630 -99.000000 -99.000000 1 1200 0.015555 57.8
12 126.175041 -7.833399 31.898779 32.924560 -99.000000 -99.000000 1 1200 0.015208 46.0
13 129.410202 -6.718382 32.087230 33.167464 -99.000000 -99.000000 1 1200 0.015202 68.2
14 128.505981 -8.175758 32.065603 33.068528 -99.000000 -99.000000 1 1200 0.014953 41.6
15 125.814369 -4.970522 31.827512 32.947737 -99.000000 -99.000000 1 1200 0.014352 46.4
16 126.056969 -7.286993 31.877484 32.930112 -99.000000 -99.000000 1 1200 0.014023 43.3
17 129.203751 -7.171249 32.084242 33.142925 -99.000000 -99.000000 1 1200 0.014015 60.5
18 130.893005 -10.423547 32.335154 33.117247 -99.000000 -99.000000 1 1200 0.013979 44.4
19 128.795639 -8.387008 32.093168 33.079584 -99.000000 -99.000000 1 1200 0.013534 42.0
20 126.040977 -7.747270 31.889841 32.915623 -99.000000 -99.000000 1 1200 0.013184 47.5
21 120.833275 3.052202 33.010842 34.132429 29.978674 31.100262 1 1200 0.012824 62.1
22 127.942000 -4.118820 32.228298 33.351204 31.707729 32.830635 1 1200 0.012589 76.6
23 119.655624 8.029668 33.316167 34.447270 29.506813 30.637916 1 1200 0.012356 78.5
24 124.461227 -5.718249 31.743649 32.851181 -99.000000 -99.000000 1 1200 0.011781 54.6
25 126.052216 -2.082023 32.705269 33.826007 30.980955 32.101693 1 1200 0.011728 69.7
26 124.478539 -5.614638 31.743401 32.853738 -99.000000 -99.000000 1 1200 0.011549 52.1
27 118.191353 6.496706 33.115745 34.243013 29.515834 30.643102 1 1200 0.011539 66.4
28 131.386063 -10.737079 32.394526 33.123616 -99.000000 -99.000000 1 1200 0.011205 45.6
29 125.698830 -8.247216 31.882524 32.877320 -99.000000 -99.000000 1 1200 0.010384 55.4
30 130.965897 -11.135837 32.401771 33.060348 -99.000000 -99.000000 1 1200 0.010233 36.2
31 124.421402 -0.881303 32.795488 33.915619 30.673901 31.794033 1 1200 0.010030 62.8
32 125.321686 -8.442191 31.865887 32.843671 -99.000000 -99.000000 1 1200 0.009977 67.9
33 127.838226 -4.247341 32.116209 33.239299 31.805797 32.928888 1 1200 0.009951 72.1
34 124.216469 -0.745214 32.800983 33.921078 30.641117 31.761213 1 1200 0.009720 62.5
35 127.196342 -6.940179 31.944759 33.014753 -99.000000 -99.000000 1 1200 0.009685 40.6
36 127.156609 -7.838921 31.964217 32.989998 -99.000000 -99.000000 1 1200 0.009658 37.6
37 127.213852 -5.703114 31.927157 33.034689 -99.000000 -99.000000 1 1200 0.009586 49.8
38 125.775772 -4.943165 31.824939 32.945164 -99.000000 -99.000000 1 1200 0.009439 46.4
39 133.112686 -11.335757 32.559611 33.188747 -99.000000 -99.000000 1 1200 0.009417 68.7
40 125.154907 -5.176332 31.784261 32.903060 -99.000000 -99.000000 1 1200 0.009383 44.4
41 115.123428 13.871765 33.326203 34.479869 28.869922 30.023587 1 1200 0.009079 77.6
42 126.529068 -8.038189 31.929871 32.940671 -99.000000 -99.000000 1 1200 0.009027 41.7
43 126.081596 -6.271716 31.858655 32.952224 -99.000000 -99.000000 1 1200 0.008891 41.6
44 127.633408 -7.338412 31.982579 33.035208 -99.000000 -99.000000 1 1200 0.008859 40.9
