index RAJ2000 DEJ2000 exptime Nvis LogProb contour
0 27.745569 13.612 1200.0 1.0 -20.641010925315577 87.55492233100478
1 27.59631 14.686 1200.0 1.0 -21.10662819291945 89.57710955135495
2 26.859587 15.129 1200.0 1.0 -21.1669824020685 86.9766405107355
3 27.250717 14.792 1200.0 1.0 -21.231975075405586 89.57750975559699
4 27.104086 15.16 1200.0 1.0 -21.48742898584812 86.97765177873522
5 26.511906 14.943 1200.0 1.0 -21.776481702464466 70.30814682049889
6 26.675175 15.206 1200.0 1.0 -21.84825646880377 83.36782106708046
7 27.178848 14.122 1200.0 1.0 -21.92321921459419 83.74558583584692
8 27.569817 13.89 1200.0 1.0 -22.25193106579738 87.55734119836103
9 27.324062 15.048 1200.0 1.0 -22.28832426245518 86.98321375273366
10 27.624367 13.823 1200.0 1.0 -22.340155902069064 87.55879251877478
11 26.815815 14.467 1200.0 1.0 -22.343142215614016 79.14336334899004
12 26.749899 16.205 1200.0 1.0 -22.408482283662416 89.34767763249333
13 26.775993 15.658 1200.0 1.0 -22.742527398061647 83.36405325687156
14 26.5313 15.66 1200.0 1.0 -22.797101366725663 78.82046027645522
15 27.854368 13.483 1200.0 1.0 -22.82813268510287 79.66433887694845
16 25.839323 16.647 1200.0 1.0 -22.849605737902472 82.9780342666113
17 27.068653 15.15 1200.0 1.0 -22.874120566044425 86.97765177873522
18 26.981655 14.591 1200.0 1.0 -22.920277233153755 79.1365370728424
19 27.412653 13.629 1200.0 1.0 -22.966936912130294 75.52443391754005
20 26.443926 14.671 1200.0 1.0 -23.02388095100119 68.68727412089109
21 27.22249 13.569 1200.0 1.0 -23.033916844898094 75.51986802204563
22 27.243402 14.767 1200.0 1.0 -23.080115785252126 89.57911057256518
23 26.866282 14.36 1200.0 1.0 -23.140590229882147 79.13729554796991
24 26.857832 14.782 1200.0 1.0 -23.1594016513628 75.56369099040087
25 26.892015 14.515 1200.0 1.0 -23.1623306891699 79.1319862220773
26 27.242504 14.755 1200.0 1.0 -23.203851787415246 89.57911057256518
27 26.951948 14.393 1200.0 1.0 -23.25766200973335 79.13729554796991
28 27.497721 13.185 1200.0 1.0 -23.289028626651127 79.66877504074655
29 27.6538 14.87 1200.0 1.0 -23.290762730952736 89.57871036832313
30 26.936342 16.013 1200.0 1.0 -23.30334071965089 89.34477028051646
31 26.623329 16.103 1200.0 1.0 -23.317517887116885 89.34809296849002
32 27.790779 13.276 1200.0 1.0 -23.34478496974302 79.66286015568241
33 26.863308 15.194 1200.0 1.0 -23.35478339892424 86.9766405107355
34 26.941416 15.04 1200.0 1.0 -23.405635666144825 86.9816968507341
35 25.907949 17.357815 1200.0 1.0 -23.438073520615845 88.88639723283627
36 26.745043 16.104307 1200.0 1.0 -23.481089588335216 89.34227826453629
37 26.417198 15.260299 1200.0 1.0 -23.488591216982865 73.64270721441326
38 27.202047 15.114 1200.0 1.0 -23.498352766617604 86.98119121673423
39 26.834303 15.054 1200.0 1.0 -23.502063655462933 86.97815741273509
40 27.444141 14.914 1200.0 1.0 -23.53361360447022 89.58031118529132
41 25.721157 17.789252 1200.0 1.0 -23.535480958460383 85.94139674024521
42 26.632736 16.145 1200.0 1.0 -23.539782091940886 89.3418629285396
43 25.417154 18.528284 1200.0 1.0 -23.560937249805868 88.47850160807806
44 27.058872 14.746577 1200.0 1.0 -23.604450806980417 79.13502012258736
45 27.04249 15.186 1200.0 1.0 -23.60673477594041 86.97765177873522
46 25.833815 17.32868 1200.0 1.0 -23.61763437729381 88.88639723283627
47 27.394199 15.093 1200.0 1.0 -23.646928743108568 86.98321375273366
48 26.904243 15.231 1200.0 1.0 -23.658560250210414 86.9766405107355
49 25.91387 17.24 1200.0 1.0 -23.660632287038105 88.88596350496141
50 26.592762 15.978 1200.0 1.0 -23.695318551516316 89.34352427252638
51 27.097067 14.868 1200.0 1.0 -23.72362077478864 86.98017994873452
52 27.133745 14.160894 1200.0 1.0 -23.73042995673278 83.74558583584692
