ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
1 29.087328 5.628824 27.110686 28.236107 23.642203 24.767625 1 1200 0.037083 0.2
2 28.841700 6.611690 27.167411 28.294946 23.550614 24.678149 1 1200 0.035737 0.2
3 28.836900 8.676260 27.301958 28.434933 23.409987 24.542962 1 1200 0.034085 0.1
4 30.765800 4.241280 27.112952 28.236044 23.866063 24.989155 1 1200 0.029299 0.1
5 29.722200 5.593880 27.151581 28.276966 23.685994 24.811379 1 1200 0.028528 0.1
6 29.099800 5.626760 27.111517 28.236939 23.643035 24.768456 1 1200 0.024542 0.2
7 28.670800 6.034920 27.114141 28.240404 23.582370 24.708632 1 1200 0.022676 0.2
8 176.574000 33.204490 37.862562 39.201745 32.341455 33.680638 1 1200 0.022652 0.3
9 30.771826 2.614285 26.966136 28.087310 24.015600 25.136774 1 1200 0.020363 0.2
10 26.317835 10.649489 27.248336 28.388019 23.121026 24.260709 1 1200 0.016990 0.2
11 31.653358 1.515695 26.911346 28.031737 24.188711 25.309102 1 1200 0.015391 0.1
12 34.749210 0.329895 26.980304 28.100322 24.532906 25.652924 1 1200 0.013313 0.2
13 27.874600 13.131750 27.476507 28.626647 23.089967 24.240106 1 1200 0.012650 0.3
14 175.575000 30.230440 37.778717 39.075541 32.334459 33.631283 1 1200 0.012635 0.3
15 26.905039 11.343893 27.324102 28.466466 23.120873 24.263237 1 1200 0.012500 0.2
16 31.907429 2.190410 26.999112 28.119930 24.134394 25.255212 1 1200 0.012314 0.1
17 29.512100 3.369300 26.952097 28.074034 23.860912 24.982850 1 1200 0.011744 0.3
18 178.987900 43.593063 37.917906 39.465576 32.399478 33.947147 1 1200 0.011713 0.3
19 29.079563 5.652130 27.113024 28.238519 23.638756 24.764251 1 1200 0.011484 0.2
20 30.434736 6.642091 27.274996 28.402575 23.655390 24.782969 1 1200 0.011230 0.2
21 28.705187 5.967151 27.110789 28.236893 23.590466 24.716570 1 1200 0.011221 0.2
22 28.600100 5.421310 27.062431 28.187460 23.625887 24.750916 1 1200 0.010849 0.3
23 31.749600 1.013410 26.862053 27.982228 24.251052 25.371227 1 1200 0.010809 0.2
24 172.168000 21.097130 37.386095 38.586748 32.368985 33.569638 1 1200 0.010619 0.3
25 173.891000 24.962190 37.591134 38.826675 32.358791 33.594332 1 1200 0.010531 0.3
26 29.335700 4.348420 27.026560 28.149810 23.761617 24.884866 1 1200 0.010448 0.2
27 29.344200 5.711570 27.134945 28.260551 23.652009 24.777615 1 1200 0.010394 0.2
28 172.352000 22.400420 37.432057 38.643608 32.336658 33.548209 1 1200 0.010204 0.3
29 27.265451 12.644860 27.412891 28.560786 23.074607 24.222503 1 1200 0.010127 0.2
30 34.038600 1.254920 27.042612 28.162883 24.375597 25.495868 1 1200 0.010064 0.2
