ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
67 54533.000000 26.872004 13.565511 14.821355 8.245312 9.501156 1 1200 0.006587 88.9
68 260114.000000 73.786858 17340.509162 17341.357504 -99.000000 -99.000000 1 1200 0.006569 88.3
69 2556912.000000 71.912102 170459.753593 170461.846407 -99.000000 -99.000000 1 1200 0.006561 86.1
70 63174.000000 27.410925 13.640551 14.902636 8.297364 9.559449 1 1200 0.006472 80.0
71 122236.000000 73.791367 8148.642496 8149.490838 -99.000000 -99.000000 1 1200 0.006461 78.3
72 2444593.000000 73.876556 162972.496992 162973.236342 -99.000000 -99.000000 1 1200 0.006400 88.3
73 63032.000000 5.811994 3.319110 4.444904 23.821762 0.947557 1 1200 0.006385 81.0
74 253466.000000 17.461643 3.527341 4.701486 22.765181 23.939325 1 1200 0.006372 88.9
75 200692.000000 22.928686 13.421465 14.637745 8.295589 9.511868 1 1200 0.006360 81.5
76 197093.000000 26.065289 13.552351 14.799499 8.267168 9.514316 1 1200 0.006345 86.4
77 47334.000000 28.738443 13.657913 14.935477 8.264523 9.542087 1 1200 0.006331 83.7
78 251453.000000 27.271652 13.571845 14.832351 8.234316 9.494822 1 1200 0.006307 86.7
79 67490.000000 17.429882 13.126453 14.300436 8.366231 9.540214 1 1200 0.006279 83.3
80 214367.000000 11.110377 12.652060 13.793534 8.473132 9.614607 1 1200 0.006231 88.5
81 40492.000000 22.519518 13.411858 14.624575 8.308758 9.521476 1 1200 0.006228 84.5
82 286033.000000 72.466629 19067.927407 19069.805926 -99.000000 -99.000000 1 1200 0.006127 87.1
83 224832.000000 69.359970 14987.471988 14990.128012 -99.000000 -99.000000 1 1200 0.006123 73.1
84 195653.000000 26.814285 13.564642 14.819873 8.246794 9.502025 1 1200 0.006107 88.9
85 2507066.000000 17.168707 3.517502 4.689884 22.776782 23.949164 1 1200 0.006048 88.9
86 61010.000000 17.242563 13.120199 14.293058 8.373608 9.546467 1 1200 0.005964 83.3
87 259010.000000 18.640385 13.167803 14.349932 8.316734 9.498864 1 1200 0.005945 87.9
88 248591.000000 68.819107 16571.383201 16574.083466 -99.000000 -99.000000 1 1200 0.005912 72.2
89 250033.000000 70.299202 16667.610460 16670.122873 -99.000000 -99.000000 1 1200 0.005910 74.4
90 2431115.000000 0.729010 3.045591 4.165681 0.500985 1.621075 1 1200 0.005880 70.6
91 212931.000000 21.423332 13.316760 14.519994 8.280006 9.483240 1 1200 0.005854 87.3
92 305831.000000 69.805725 20387.433359 20390.033308 -99.000000 -99.000000 1 1200 0.005850 82.4
93 264409.000000 14.918300 12.963192 14.122316 8.411017 9.570141 1 1200 0.005831 85.6
94 63551.000000 71.635872 4235.639216 4237.827451 -99.000000 -99.000000 1 1200 0.005804 85.6
95 239212.000000 21.254816 13.379184 14.581120 8.352214 9.554150 1 1200 0.005726 80.5
96 41211.000000 21.424500 13.316760 14.519994 8.280006 9.483240 1 1200 0.005722 87.3
97 60290.000000 17.396606 13.125563 14.299384 8.367283 9.541104 1 1200 0.005708 83.3
98 229134.000000 28.735413 13.657913 14.935477 8.264523 9.542087 1 1200 0.005628 83.7
99 291413.000000 27.281006 13.571845 14.832351 8.234316 9.494822 1 1200 0.005619 86.7
100 2123813.000000 24.215805 13.516901 14.745222 8.321444 9.549765 1 1200 0.005618 80.0
