index RAJ2000 DEJ2000 exptime Nvis LogProb contour
50 176.574 33.20449 1200.0 1.0 -4.229385851663154 0.4595470096208581
175 242.685 57.4623 1200.0 1.0 -4.757696569294272 0.42266247034790533
319 247.341 48.86977 1200.0 1.0 -5.0762210622965425 0.4353695365951083
367 185.47 56.04355 1200.0 1.0 -5.175353343640472 0.4441842204378879
384 250.288 61.32631 1200.0 1.0 -5.19954109315168 0.41482008044881274
419 247.92 59.62595 1200.0 1.0 -5.255054583213433 0.39786133611422414
435 184.839 52.69391 1200.0 1.0 -5.271930713120543 0.43100873657418437
465 173.704 49.08143 1200.0 1.0 -5.316954498253148 0.4440902136071132
