index RAJ2000 DEJ2000 exptime Nvis LogProb contour
0 -84.957687 14.356 1200.0 1.0 -21.450001136578564 87.36488029504183
1 -85.895912 15.56 1200.0 1.0 -21.894749061430687 77.15520716850472
2 -85.09772 16.54 1200.0 1.0 -21.9402827154355 88.47973310807687
3 -85.783371 15.144 1200.0 1.0 -22.14604522785089 77.15461596069107
4 -86.28727 15.75 1200.0 1.0 -22.267000751277315 74.80475536006361
5 -85.427025 17.260205 1200.0 1.0 -22.30982168220902 88.48120392012716
6 -85.58889 16.944 1200.0 1.0 -22.516537056974116 88.47988631766545
7 -86.287872 17.728199 1200.0 1.0 -22.545433026634285 77.26398450801358
8 -85.671089 15.15 1200.0 1.0 -22.66473489410173 77.15099481283254
9 -84.796944 17.077 1200.0 1.0 -22.66583575862024 88.48065236560831
10 -86.091911 14.645 1200.0 1.0 -22.666263802237737 74.79470349096844
11 -85.709435 15.498 1200.0 1.0 -22.691701788265302 77.15528106948142
12 -86.24719 15.48 1200.0 1.0 -22.697016702998788 70.96274680920881
13 -85.04232 16.948 1200.0 1.0 -22.715682076263754 88.48068300752601
14 -85.055595 16.355 1200.0 1.0 -22.75779141466284 88.48141841355115
15 -86.005722 15.947 1200.0 1.0 -22.80068573950851 77.20076200386369
16 -85.015518 16.471 1200.0 1.0 -22.80930867740819 88.48056043985515
17 -85.39135 16.36 1200.0 1.0 -22.838912792433185 77.20134293867595
18 -85.69857 15.307 1200.0 1.0 -22.893484547810743 77.15380304994733
19 -86.41333 17.831521 1200.0 1.0 -22.900937579331767 70.8744061702563
20 -86.247299 15.311204 1200.0 1.0 -22.948462149197304 70.9608665078396
21 -85.536888 15.141 1200.0 1.0 -22.950143803001748 77.1534335450638
22 -86.486305 15.038 1200.0 1.0 -22.974708947755 70.99874388993356
23 -84.893036 16.566656 1200.0 1.0 -22.97681278945825 88.47970246615915
24 -85.61853 15.978315 1200.0 1.0 -23.004265257406043 77.20127032182441
25 -85.60014 15.38 1200.0 1.0 -23.020338474004678 77.1548376636212
26 -85.340439 15.25 1200.0 1.0 -23.021123226450143 77.15254673334334
27 -85.487808 17.339029 1200.0 1.0 -23.02694527829548 77.26563133147745
28 -85.444359 15.301 1200.0 1.0 -23.037149588542633 77.15210332748312
29 -85.61875 16.09 1200.0 1.0 -23.03747496024256 77.19894658257539
30 -85.693954 16.540521 1200.0 1.0 -23.079805971803808 77.20047153645756
31 -85.669983 16.317 1200.0 1.0 -23.080591832896452 77.19901919942693
32 -85.239555 17.299482 1200.0 1.0 -23.082361851346967 88.48095878478544
33 -86.172653 15.475926 1200.0 1.0 -23.088839252657152 74.80500002210427
34 -85.535141 16.338 1200.0 1.0 -23.103084469675494 77.19880134887232
35 -86.537529 15.349 1200.0 1.0 -23.202968267029796 70.96065758546524
36 -86.545067 15.285 1200.0 1.0 -23.21384231255773 70.96253788683445
37 -85.84449 15.346 1200.0 1.0 -23.24696043130424 77.15439425776096
38 -86.428841 16.0 1200.0 1.0 -23.28536262191421 70.94264285179945
39 -85.630264 16.616624 1200.0 1.0 -23.311617333127717 77.1996727510907
40 -85.043007 16.637 1200.0 1.0 -23.31464730534222 88.4812652039626
41 -86.344437 16.993243 1200.0 1.0 -23.333836893951037 74.80597839210937
42 -85.884544 15.437 1200.0 1.0 -23.358583239368556 77.15143821869277
43 -86.016647 15.192 1200.0 1.0 -23.402037951901498 77.15468986166778
44 -87.030006 14.729 1200.0 1.0 -23.43033540256767 62.87809927340761
45 -86.569199 16.169719 1200.0 1.0 -23.46211360050873 70.9420120247299
46 -85.420502 16.122 1200.0 1.0 -23.486213909662258 77.19887396572386
47 -86.050301 17.01422 1200.0 1.0 -23.50174549762325 74.80756507932628
48 -86.590157 16.069 1200.0 1.0 -23.521421144218913 70.9428531274893
49 -85.640709 16.286 1200.0 1.0 -23.526226749628407 77.20177863978513
50 -86.208687 16.468592 1200.0 1.0 -23.540406937021967 77.19952751738765
51 -86.260864 15.685 1200.0 1.0 -23.569190735873608 74.80426603598231
52 -86.119942 16.228 1200.0 1.0 -23.579106096953975 77.20105247126982
53 -87.678543 15.098425 1200.0 1.0 -23.605194128538226 57.82022148390021
54 -85.636452 15.854 1200.0 1.0 -23.655560863595642 77.19989060164531
55 -85.521194 16.324 1200.0 1.0 -23.684253284879407 77.19880134887232
56 -86.465416 15.578 1200.0 1.0 -23.689830552124782 70.96337357633188
57 -86.688026 15.091 1200.0 1.0 -23.709810704608984 67.48043599172023
58 -85.870369 16.055 1200.0 1.0 -23.71433152278775 77.19865611516926
59 -84.637398 16.902 1200.0 1.0 -23.718060129276694 88.48077493327916
60 -86.011208 15.812 1200.0 1.0 -23.742278755368787 74.80438836700264
61 -85.421165 14.131 1200.0 1.0 -23.769663459700038 77.07243265470318
62 -85.592476 14.371839 1200.0 1.0 -23.77113730999971 87.36655603674834
63 -85.571709 16.230537 1200.0 1.0 -23.792417652449224 77.20177863978513
64 -86.209305 16.728783 1200.0 1.0 -23.804324395440762 74.80610044497222
65 -85.127556 17.301141 1200.0 1.0 -23.815243394186233 88.48092814286773
66 -86.8409 15.62 1200.0 1.0 -23.858846585331964 67.31795342040849
67 -85.658539 14.632 1200.0 1.0 -23.8598394503691 77.15306404018027
68 -86.27034 16.829664 1200.0 1.0 -23.917296292593093 74.80780918505195
69 -85.49704 14.427 1200.0 1.0 -23.942955148597406 87.36598628456812
70 -86.841042 15.525204 1200.0 1.0 -23.9747455170103 67.31660066299035
71 -85.612549 16.108998 1200.0 1.0 -24.033372678205264 77.19894658257539
72 -89.779785 15.999 1200.0 1.0 -24.036380071473037 72.62686071222868
73 -85.92855 13.72 1200.0 1.0 -24.056968441639675 77.0698649775766
74 -87.435493 16.895029 1200.0 1.0 -24.06281981706816 56.02271183432242
75 -86.138878 16.698752 1200.0 1.0 -24.074691500031875 74.80610044497222
76 -86.880173 15.859 1200.0 1.0 -24.0887090005784 67.3149097162177
77 -85.902817 15.964 1200.0 1.0 -24.08987623666459 77.20076200386369
78 -86.172859 15.417 1200.0 1.0 -24.10306153711239 70.96128435258832
79 -85.536186 16.666 1200.0 1.0 -24.112416098714952 77.20025368590296
80 -87.144485 17.226371 1200.0 1.0 -24.112681337929978 61.59315822043969
81 -85.549889 14.743 1200.0 1.0 -24.127358948691562 77.15372914897061
82 -87.287354 15.754 1200.0 1.0 -24.132297187502985 57.273200208523015
83 -86.557709 15.511 1200.0 1.0 -24.136432789122924 70.96191111971139
84 -85.828209 15.868 1200.0 1.0 -24.139006703990013 77.19996321849683
85 -85.72287 15.055 1200.0 1.0 -24.144064045347797 77.15099481283254
86 -86.355133 15.048 1200.0 1.0 -24.151220007320227 77.15239893138992
87 -87.002411 15.36 1200.0 1.0 -24.1613670714118 62.54803604528275
88 -85.402061 12.14 1200.0 1.0 -24.18139354484989 85.99180142569746
89 -85.177689 13.90514 1200.0 1.0 -24.18329774499645 77.0729612941116
90 -85.928627 14.090767 1200.0 1.0 -24.18555947442372 77.07265921444964
91 -86.476219 16.046 1200.0 1.0 -24.204115056329897 70.9407503705908
92 -88.808952 15.62387 1200.0 1.0 -24.24964550606488 56.854245917885535
93 -85.871185 15.994 1200.0 1.0 -24.251984327785273 77.19865611516926
94 -89.292175 15.899 1200.0 1.0 -24.257056279318583 62.117181633814475
95 -86.857849 16.221863 1200.0 1.0 -24.26214828863566 67.10555454346353
96 -85.319344 15.277 1200.0 1.0 -24.28342654520367 77.15254673334334
97 -88.229469 16.552156 1200.0 1.0 -24.28610404033834 51.59597342113235
98 -89.032982 15.832576 1200.0 1.0 -24.294999922064562 56.8505133507762
99 -87.011589 16.170608 1200.0 1.0 -24.317047066883234 62.24756214668464
100 -87.67853 16.51 1200.0 1.0 -24.32073983480242 56.66223167675343
101 -86.522194 17.96053 1200.0 1.0 -24.323256745260842 70.87547405547559
102 -86.284996 14.941 1200.0 1.0 -24.338743630069565 77.15158602064618
103 -85.877129 16.326 1200.0 1.0 -24.33918981353728 77.20206910719126
104 -86.85777 16.3 1200.0 1.0 -24.347759303076966 67.10555454346353
105 -85.354019 16.573 1200.0 1.0 -24.38755770220835 77.20032630275449
106 -87.519737 15.53 1200.0 1.0 -24.388309778029516 57.27902359679923
107 -87.12619 15.88 1200.0 1.0 -24.413837261424142 62.24440437166331
108 -85.855904 16.814632 1200.0 1.0 -24.425624228634597 77.19785732980242
109 -85.375862 14.983 1200.0 1.0 -24.427649675517074 77.15121651576266
110 -85.59247 14.11 1200.0 1.0 -24.451074954927144 77.07250817461868
111 -89.458229 17.287728 1200.0 1.0 -24.524080503594245 59.1267930842966
112 -86.671516 18.221085 1200.0 1.0 -24.534595481276675 66.69387087933893
113 -88.59729 17.272005 1200.0 1.0 -24.586464409607427 52.10134918178929
114 -87.11066 17.33 1200.0 1.0 -24.6004318011268 61.58764783212527
115 -88.505013 17.377696 1200.0 1.0 -24.629506136186002 50.36872792189986
116 -89.42572 16.978894 1200.0 1.0 -24.632795415333547 66.27115121861192
117 -89.647903 15.915013 1200.0 1.0 -24.68816179071426 68.36922095777211
118 -86.068596 15.414 1200.0 1.0 -24.68844255330806 77.15232503041322
119 -86.766808 13.798 1200.0 1.0 -24.695626992843128 67.75153169559161
120 -87.847229 15.766 1200.0 1.0 -24.721302405364852 53.97866211884374
121 -86.622307 15.802 1200.0 1.0 -24.725716686231312 67.31896798847208
122 -89.274231 16.458 1200.0 1.0 -24.726881412963362 60.81382778958101
123 -85.310417 12.741 1200.0 1.0 -24.72804757170297 76.98104754232735
124 -85.738724 15.924616 1200.0 1.0 -24.776552130125246 77.20068938701216
125 -89.112175 16.59733 1200.0 1.0 -24.80472537525063 60.816766132542455
126 -85.58551 15.938 1200.0 1.0 -24.81702664153728 77.20127032182441
127 -86.714722 15.507894 1200.0 1.0 -24.832072828932006 70.96316465395752
128 -87.910294 16.243 1200.0 1.0 -24.837042046322225 53.674235098186905
129 -86.022102 16.934 1200.0 1.0 -24.882258603079897 74.80756507932628
130 -87.018974 16.026 1200.0 1.0 -24.901085391693186 62.245456963337084
131 -86.928322 16.328814 1200.0 1.0 -24.904903871574835 67.10383829697389
132 -86.894127 16.245 1200.0 1.0 -24.942138968942764 67.10555454346353
133 -86.196289 17.298648 1200.0 1.0 -24.957533234589135 70.89506007740613
134 -86.462769 16.388 1200.0 1.0 -24.966090199446896 70.91775368281755
135 -86.653618 17.688982 1200.0 1.0 -24.984241641012957 66.80897956932431
136 -86.494034 15.429 1200.0 1.0 -24.991980831860246 70.96295573158316
137 -86.43969 15.772 1200.0 1.0 -25.003032122838732 70.9415914733502
138 -86.993088 14.31718 1200.0 1.0 -25.01372766231117 67.61327058735203
139 -86.191132 16.183354 1200.0 1.0 -25.01724968060494 77.19960013423918
140 -88.949295 16.803577 1200.0 1.0 -25.050292332850603 54.451347915131386
141 -88.937851 18.134752 1200.0 1.0 -25.06818454842735 52.25986627915291
142 -88.618439 17.697347 1200.0 1.0 -25.069917781344145 49.697211456467606
143 -87.945129 17.200807 1200.0 1.0 -25.07481682530863 52.763601415820595
144 -86.543854 15.958211 1200.0 1.0 -25.076151705069755 70.94096064628066
145 -87.175911 16.809831 1200.0 1.0 -25.111296785946784 61.87094524885762
146 -87.263817 15.4 1200.0 1.0 -25.113178846641127 62.54239301492343
147 -87.544388 17.426077 1200.0 1.0 -25.180940408058245 55.23820303191018
148 -86.248329 14.84764 1200.0 1.0 -25.210481248833172 70.99853643449059
149 -88.54007 17.937799 1200.0 1.0 -25.225491219022786 48.743799723257574
150 -86.63195 12.41 1200.0 1.0 -25.261136762948983 71.3663730006361
151 -88.268791 15.646457 1200.0 1.0 -25.275799089383973 53.14175958880355
152 -88.241005 16.439 1200.0 1.0 -25.277410783215153 51.59917849628995
153 -87.697975 17.886204 1200.0 1.0 -25.3100818322067 53.624641056878886
154 -89.116409 14.486266 1200.0 1.0 -25.31530546099549 60.09466541958993
155 -86.861763 16.904 1200.0 1.0 -25.324505370760516 66.95436326514398
156 -87.052254 17.449847 1200.0 1.0 -25.389431403397744 61.591505103945366
157 -88.476181 17.576283 1200.0 1.0 -25.418759605801007 49.344929975427746
158 -88.39196 15.083288 1200.0 1.0 -25.439621110220024 53.9494501644083
159 -89.401512 17.90145 1200.0 1.0 -25.483618462391153 57.48943671507993
160 -85.930397 15.781 1200.0 1.0 -25.510358501084024 74.80438836700264
161 -86.834152 15.62 1200.0 1.0 -25.52733857715397 67.31795342040849
162 -86.99308 15.66 1200.0 1.0 -25.5712636479523 67.31626247363582
