ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
1 279.993000 14.897470 20.361721 21.520715 39.811685 40.970679 1 1200 0.033767 0.2
2 279.609000 17.196810 20.425669 21.598210 39.682990 40.855531 1 1200 0.029126 0.3
3 279.147000 14.860770 20.304316 21.463180 39.756420 40.915284 1 1200 0.023994 0.1
4 337.724091 52.809784 24.083818 25.939841 43.090038 20.946061 1 1200 0.021337 0.3
5 287.635000 27.343370 21.214998 22.476134 39.875199 41.136335 1 1200 0.019288 0.0
6 285.902000 27.606580 21.103477 22.367795 39.752472 41.016789 1 1200 0.019135 0.3
7 290.119000 30.825300 21.419890 22.724651 39.957882 41.262643 1 1200 0.018588 0.1
8 294.818787 33.963280 21.746901 23.097652 40.211519 41.562270 1 1200 0.018044 0.2
9 289.932068 30.893555 21.407858 22.713389 39.944220 41.249751 1 1200 0.017883 0.1
10 282.255000 19.331880 20.673539 21.860599 39.773401 40.960461 1 1200 0.017269 0.0
11 286.285248 26.849449 21.117427 22.372964 39.798402 41.053940 1 1200 0.016583 0.2
12 284.183000 25.237150 20.949177 22.187476 39.703590 40.941890 1 1200 0.016449 0.3
13 325.783783 50.080372 23.456355 25.204417 42.233421 43.981483 1 1200 0.016080 0.0
14 332.423676 50.880482 23.855262 25.632702 42.690455 20.467895 1 1200 0.015606 0.2
15 279.476990 17.533932 20.428467 21.603099 39.660500 40.835132 1 1200 0.014836 0.3
16 291.340393 32.864769 21.512627 22.846621 39.998765 41.332759 1 1200 0.014704 0.2
17 329.338196 50.842731 23.651125 25.427535 42.484224 20.260634 1 1200 0.014041 0.1
18 280.803000 17.067050 20.500757 21.672508 39.767892 40.939643 1 1200 0.014010 0.1
19 67.394165 0.768994 29.210193 30.330294 26.655594 27.775695 1 1200 0.013133 0.3
20 279.195000 16.785000 20.382610 21.552498 39.673502 40.843390 1 1200 0.012864 0.3
21 346.324158 53.199951 24.628774 26.501769 43.674785 21.547781 1 1200 0.012764 0.3
22 331.761780 51.378269 23.780716 25.577969 42.656935 20.454188 1 1200 0.012413 0.1
23 333.285706 50.516453 23.932738 25.696880 42.741214 20.505356 1 1200 0.012014 0.2
24 330.680481 51.335392 23.711898 25.507044 42.583686 20.378832 1 1200 0.011009 0.1
